epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,514.855,1.32664,3.46501,1.4389,0.55579,0.21468,0.23479,0.15816,1.42405,3.82682,1.79593,0.000172411,0.000172411,0.000172411
2,1015.83,1.30608,2.27268,1.44953,0.75186,0.3073,0.33145,0.19904,1.44469,3.03672,1.77905,0.000340859,0.000340859,0.000340859
3,1475,1.26904,1.97837,1.40993,0.63557,0.33095,0.35946,0.22689,1.38073,2.9433,1.72541,0.000502364,0.000502364,0.000502364
4,2022.78,1.24701,1.84065,1.38961,0.47813,0.35057,0.34178,0.21113,1.40775,2.96648,1.75742,0.000494756,0.000494756,0.000494756
5,5153.81,1.19213,1.71198,1.33052,0.73717,0.36298,0.4164,0.25463,1.38442,2.72924,1.82087,0.000484341,0.000484341,0.000484341
6,5663.31,1.17682,1.56384,1.32106,0.49457,0.39285,0.3686,0.24067,1.29212,2.68793,1.66883,0.000473926,0.000473926,0.000473926
7,6135.07,1.14951,1.47684,1.3095,0.7556,0.40758,0.43403,0.28611,1.24741,2.41545,1.62332,0.000463511,0.000463511,0.000463511
8,6633.15,1.15215,1.44409,1.31787,0.82898,0.42608,0.49401,0.32597,1.23816,2.1943,1.65905,0.000453096,0.000453096,0.000453096
9,7123.91,1.13237,1.36394,1.29171,0.80437,0.47901,0.54048,0.34331,1.22142,1.98695,1.5674,0.000442682,0.000442682,0.000442682
10,7595.06,1.10002,1.30473,1.26276,0.70313,0.38858,0.50407,0.33184,1.24053,2.17096,1.64862,0.000432267,0.000432267,0.000432267
11,8181.45,1.08306,1.27641,1.26443,0.83754,0.45216,0.53567,0.36581,1.16593,2.04088,1.5527,0.000421852,0.000421852,0.000421852
12,17034.3,1.07273,1.25109,1.25367,0.78836,0.55501,0.60078,0.38737,1.20004,1.75813,1.58326,0.000411437,0.000411437,0.000411437
13,17547.7,1.05901,1.19009,1.23414,0.59813,0.54779,0.58612,0.36668,1.26433,1.74247,1.62066,0.000401022,0.000401022,0.000401022
14,18164.9,1.03179,1.14522,1.22684,0.83501,0.5035,0.58636,0.39899,1.15851,1.65155,1.53546,0.000390608,0.000390608,0.000390608
15,18687.3,1.03187,1.09833,1.22604,0.85778,0.55296,0.61022,0.40107,1.18898,1.61795,1.55912,0.000380193,0.000380193,0.000380193
16,26026.8,1.02324,1.07295,1.21005,0.698,0.53573,0.58531,0.39927,1.09724,1.71214,1.46274,0.000369778,0.000369778,0.000369778
17,26641.6,0.99669,1.07328,1.20567,0.79647,0.51574,0.5846,0.37446,1.22945,1.70971,1.58186,0.000359363,0.000359363,0.000359363
18,27284.9,0.99916,1.04246,1.19705,0.70974,0.62027,0.64897,0.4234,1.12131,1.44047,1.46877,0.000348948,0.000348948,0.000348948
19,27844,0.97564,1.00152,1.18186,0.8336,0.58757,0.63786,0.4364,1.13559,1.56735,1.5015,0.000338534,0.000338534,0.000338534
20,28373,0.98107,0.98718,1.18121,0.7244,0.67994,0.6878,0.456,1.13351,1.50162,1.53513,0.000328119,0.000328119,0.000328119
21,28858.6,0.94633,0.9458,1.16122,0.77755,0.60638,0.67519,0.4312,1.13696,1.6804,1.50099,0.000317704,0.000317704,0.000317704
22,29618,0.96467,0.94866,1.17391,0.81218,0.64554,0.72248,0.48114,1.08394,1.323,1.45814,0.000307289,0.000307289,0.000307289
23,30053.6,0.95513,0.94666,1.17087,0.81339,0.67141,0.73883,0.47495,1.12722,1.27353,1.46864,0.000296874,0.000296874,0.000296874
24,30545.5,0.94318,0.90463,1.15946,0.78773,0.63748,0.70917,0.46411,1.12643,1.37496,1.46867,0.00028646,0.00028646,0.00028646
25,30995.1,0.94535,0.91732,1.16159,0.86608,0.65264,0.72705,0.47355,1.09588,1.265,1.44405,0.000276045,0.000276045,0.000276045
26,31416.2,0.92283,0.88754,1.14777,0.80544,0.69274,0.7359,0.48425,1.10549,1.22959,1.44737,0.00026563,0.00026563,0.00026563
27,31852.4,0.90873,0.85506,1.13837,0.82474,0.64205,0.71647,0.4737,1.08108,1.2771,1.43404,0.000255215,0.000255215,0.000255215
28,32301.1,0.90433,0.83247,1.13604,0.88455,0.68638,0.75441,0.50302,1.07986,1.23694,1.44077,0.0002448,0.0002448,0.0002448
29,34767,0.89653,0.82184,1.13333,0.75866,0.67669,0.72127,0.46451,1.12274,1.23969,1.44659,0.000234386,0.000234386,0.000234386
30,35249.5,0.86732,0.80182,1.11437,0.85414,0.71518,0.76236,0.51138,1.04841,1.21197,1.40162,0.000223971,0.000223971,0.000223971
31,35739.7,0.892,0.80801,1.12138,0.87615,0.66473,0.74685,0.51723,1.06204,1.15462,1.40724,0.000213556,0.000213556,0.000213556
32,36173.7,0.8824,0.79139,1.11277,0.87519,0.66141,0.76763,0.5145,1.01634,1.18028,1.38399,0.000203141,0.000203141,0.000203141
33,36637.6,0.85892,0.7781,1.11452,0.8273,0.69375,0.73206,0.5025,1.05982,1.18961,1.45064,0.000192726,0.000192726,0.000192726
34,37139.6,0.86485,0.7724,1.10645,0.84273,0.6913,0.75445,0.51486,0.9974,1.10912,1.36292,0.000182312,0.000182312,0.000182312
35,37600.7,0.85561,0.76169,1.10821,0.87359,0.72098,0.77336,0.53059,1.04282,1.0881,1.398,0.000171897,0.000171897,0.000171897
36,38562.5,0.84343,0.72439,1.09379,0.88941,0.71188,0.77235,0.52443,1.01752,1.04981,1.38476,0.000161482,0.000161482,0.000161482
37,39156.3,0.8405,0.75614,1.09827,0.89786,0.70573,0.7919,0.524,1.02551,1.08635,1.39645,0.000151067,0.000151067,0.000151067
38,80975.3,0.82441,0.713,1.09005,0.88573,0.72555,0.80145,0.5507,1.0132,1.00497,1.37676,0.000140652,0.000140652,0.000140652
39,81369.6,0.83288,0.72454,1.0924,0.86327,0.71529,0.78747,0.5334,1.01487,1.02237,1.38796,0.000130238,0.000130238,0.000130238
40,81766.8,0.81437,0.68979,1.07317,0.87891,0.71875,0.80064,0.53802,1.00717,0.98661,1.37573,0.000119823,0.000119823,0.000119823
41,82141,0.75457,0.62575,1.04886,0.86187,0.71856,0.78157,0.51953,1.04299,1.03867,1.39287,0.000109408,0.000109408,0.000109408
42,82513.2,0.74239,0.58795,1.0424,0.81,0.76592,0.8049,0.54713,0.99991,0.95381,1.3619,9.89932e-05,9.89932e-05,9.89932e-05
43,82883.2,0.71268,0.56291,1.02899,0.83856,0.73961,0.80686,0.53776,1.01922,0.99918,1.38369,8.85784e-05,8.85784e-05,8.85784e-05
44,83249.3,0.70674,0.55605,1.02431,0.87238,0.73586,0.80976,0.55291,1.01122,0.96712,1.38455,7.81636e-05,7.81636e-05,7.81636e-05
45,83616,0.7002,0.54306,1.0176,0.78984,0.78639,0.81401,0.55356,1.0252,0.96385,1.38096,6.77488e-05,6.77488e-05,6.77488e-05
46,83990.7,0.69782,0.55307,1.02477,0.87538,0.72908,0.80564,0.55474,1.00388,0.9331,1.36622,5.7334e-05,5.7334e-05,5.7334e-05
47,84375.3,0.68779,0.52737,1.01646,0.84686,0.7367,0.80588,0.55719,0.99785,0.92774,1.36645,4.69192e-05,4.69192e-05,4.69192e-05
48,84751.4,0.69414,0.53822,1.01763,0.8708,0.7162,0.80629,0.55909,1.00008,0.92968,1.35397,3.65044e-05,3.65044e-05,3.65044e-05
49,85125.8,0.68459,0.52342,1.01216,0.82589,0.78032,0.81249,0.5645,0.98918,0.92694,1.35833,2.60896e-05,2.60896e-05,2.60896e-05
50,85504.8,0.67698,0.51812,1.00669,0.81616,0.76754,0.81342,0.56053,0.99923,0.91322,1.36213,1.56748e-05,1.56748e-05,1.56748e-05
